SUBDIVISION,YEAR,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1998,0.9,348.9,1561.2,935.4
ANDAMAN & NICOBAR ISLANDS,1999,91.4,542.2,1358,708.1
ANDAMAN & NICOBAR ISLANDS,2000,112,812.2,1244.2,594.7
ANDAMAN & NICOBAR ISLANDS,2001,104.7,878.7,1515.4,582
ANDAMAN & NICOBAR ISLANDS,2002,10.7,478.4,1525.6,605.5
ANDAMAN & NICOBAR ISLANDS,2003,52.2,465,1406.1,432.5
ANDAMAN & NICOBAR ISLANDS,2004,90.4,583.2,1392.2,394.2
ANDAMAN & NICOBAR ISLANDS,2005,0,376.8,1700.4,877.5
ANDAMAN & NICOBAR ISLANDS,2006,30.7,534,1314.9,525.2
ANDAMAN & NICOBAR ISLANDS,2007,6.5,429.6,1793.1,518.9
ANDAMAN & NICOBAR ISLANDS,2008,77.6,877.3,1783.1,636.8
ANDAMAN & NICOBAR ISLANDS,2009,30.8,493.7,1627.1,386.9
ANDAMAN & NICOBAR ISLANDS,2010,109.8,332.2,1797.8,917.3
ANDAMAN & NICOBAR ISLANDS,2011,350.7,710.7,2165,601.6
ANDAMAN & NICOBAR ISLANDS,2012,165.6,620.5,2014,697.5
ANDAMAN & NICOBAR ISLANDS,2013,104.7,598.6,2152.1,902.4
ANDAMAN & NICOBAR ISLANDS,2014,50.5,249.1,1618.7,704.2
ARUNACHAL PRADESH,1998,105.6,593.6,2707.4,210.2
ARUNACHAL PRADESH,1999,14,543.2,1519,240.4
ARUNACHAL PRADESH,2000,101.2,700.8,1650,144.8
ARUNACHAL PRADESH,2001,119.7,560.5,1147.8,208
ARUNACHAL PRADESH,2002,111.4,571.6,1549.4,156.9
ARUNACHAL PRADESH,2003,106.1,465.2,1656.6,223.9
ARUNACHAL PRADESH,2004,77.1,684.3,1578.7,205.6
ARUNACHAL PRADESH,2005,216,604.6,1343.7,171.2
ARUNACHAL PRADESH,2006,109.7,587.7,1393.5,168.7
ARUNACHAL PRADESH,2007,110.8,590.9,2185.1,133.9
ARUNACHAL PRADESH,2008,116.4,499.9,1508.7,119.4
ARUNACHAL PRADESH,2009,110.8,394.7,1111.8,132.7
ARUNACHAL PRADESH,2010,13.9,1017.5,1653.6,170.9
ARUNACHAL PRADESH,2011,91.4,634.9,1384.2,83.3
ARUNACHAL PRADESH,2012,93.6,724.9,2325.6,296.3
ARUNACHAL PRADESH,2013,59,626,1165.9,192
ARUNACHAL PRADESH,2014,120.9,466,1750.8,65.4
ASSAM & MEGHALAYA,1998,43.4,573.1,1947.4,239.2
ASSAM & MEGHALAYA,1999,2.9,656.1,1710.2,225
ASSAM & MEGHALAYA,2000,34.2,679.5,1666.6,106.6
ASSAM & MEGHALAYA,2001,45.2,495.8,1413.2,224.2
ASSAM & MEGHALAYA,2002,25.9,650.2,1589.8,126.8
ASSAM & MEGHALAYA,2003,51,546.5,1573.3,263.4
ASSAM & MEGHALAYA,2004,34.8,755.9,1849.7,353.9
ASSAM & MEGHALAYA,2005,53.3,660.9,1525.2,228.9
ASSAM & MEGHALAYA,2006,41.5,515.5,1208.1,133.5
ASSAM & MEGHALAYA,2007,75.2,486.1,1975.1,216.4
ASSAM & MEGHALAYA,2008,44.2,474.4,1683.9,137.2
ASSAM & MEGHALAYA,2009,19.5,426.2,1473.5,149
ASSAM & MEGHALAYA,2010,3.7,882.3,1690.2,135.3
ASSAM & MEGHALAYA,2011,22.5,439.4,1236,45.6
ASSAM & MEGHALAYA,2012,22.1,493.7,1874.8,218.8
ASSAM & MEGHALAYA,2013,10.7,503.5,1172.9,129.3
ASSAM & MEGHALAYA,2014,30.3,431.9,1705.5,38.5
NAGA MANI MIZO TRIPURA,1998,59.7,653.2,1367.9,144.7
NAGA MANI MIZO TRIPURA,1999,2.2,457.3,1510.9,262.6
NAGA MANI MIZO TRIPURA,2000,48.6,746.9,1357.9,210.4
NAGA MANI MIZO TRIPURA,2001,48.4,436.1,1332.6,332
NAGA MANI MIZO TRIPURA,2002,22.5,645.1,1397.8,176.9
NAGA MANI MIZO TRIPURA,2003,15.3,502.4,1423.4,221.1
NAGA MANI MIZO TRIPURA,2004,7.4,563.5,1643.2,139.6
NAGA MANI MIZO TRIPURA,2005,21.4,453.7,1141.1,220.4
